"MonthlyRevenue","IncomeGroup","AgeHH1","fit.cluster"
48.38,6,38,2
31.42,4,42,2
50.24,6,46,2
7.56,4,36,2
48.08,2,56,2
71.47,2,32,1
48.66,9,46,2
49.95,8,38,2
29.29,6,56,2
58.4,5,46,2
69.52,9,50,1
38.56,9,56,2
34.46,6,64,2
32.28,9,28,2
33.76,8,48,2
35.36,6,28,2
80.67,9,42,1
30,6,38,2
75.83,3,32,1
34.98,6,60,2
50.45,4,52,2
20.17,9,42,2
44.25,1,62,2
11.24,4,44,2
74.89,7,34,1
18.7,7,50,2
53.98,8,58,2
140.88,7,42,1
62.85,2,60,1
101.84,6,34,1
34.99,9,38,2
30.51,6,34,2
22.39,6,44,2
117.36,9,28,1
34.97,6,48,2
30,6,36,2
30,9,40,2
76.93,6,30,1
34.33,9,54,2
32.88,5,32,2
43.45,4,58,2
58.61,3,28,2
53.88,1,22,2
84.57,6,28,1
67.14,3,34,1
78.72,9,38,1
32.74,9,54,2
27.78,7,36,2
36.62,7,44,2
152.99,4,36,3
53.35,1,24,2
54.72,9,40,2
47.58,6,24,2
35.23,8,36,2
47.04,7,42,2
50.31,7,60,2
65.5,9,46,1
26.05,7,62,2
30.43,6,60,2
22.55,6,44,2
22.5,6,64,2
58.26,7,42,2
31.93,4,46,2
41.28,5,22,2
19.38,2,28,2
23.26,7,56,2
183.72,6,26,3
42.05,3,58,2
32.51,6,52,2
31.11,7,48,2
17.14,4,44,2
79.4,6,26,1
65.99,6,54,1
114.06,3,46,1
146.51,6,66,3
66.58,7,40,1
16.28,1,70,2
33.01,8,54,2
77.1,5,36,1
31.96,9,36,2
81.72,7,38,1
49.99,6,42,2
47.68,6,40,2
36.2,9,52,2
59.19,9,56,2
61.13,9,40,1
59.65,7,66,2
68.22,6,72,1
75.28,7,90,1
103.14,5,36,1
58.38,2,24,2
54.98,2,42,2
97.58,9,44,1
115,3,52,1
84,7,40,1
81.69,5,28,1
16.99,6,50,2
73.75,6,48,1
59.37,0,32,2
31.1,6,34,2
57.07,6,42,2
44.48,8,30,2
42.72,8,36,2
30.5,5,56,2
21.88,9,78,2
33.45,8,44,2
61.54,7,58,2
89.81,9,56,1
43.54,5,28,2
116.62,3,24,1
36.05,9,56,2
59.58,8,40,2
70.57,5,34,1
45.62,3,34,2
30.79,2,26,2
151.21,1,26,3
75.41,8,38,1
33.24,6,42,2
54.2,8,52,2
40.34,4,44,2
55.34,3,68,2
47.06,3,62,2
54.41,7,40,2
35.74,5,48,2
40.59,6,32,2
37.83,9,48,2
77.08,3,30,1
53.7,6,38,2
30.71,6,28,2
30.51,9,36,2
46.27,6,28,2
30.14,6,32,2
82.57,7,52,1
111.78,1,28,1
129.03,4,34,1
55.76,8,38,2
67.49,4,42,1
41.52,9,46,2
52.94,6,38,2
19.87,5,32,2
79.05,4,28,1
32.19,6,46,2
87.26,9,44,1
93.71,9,52,1
32.2,1,22,2
172.31,5,46,3
61.81,9,36,1
77.69,6,38,1
90.85,6,28,1
40.28,3,44,2
42.17,6,28,2
34.99,7,42,2
89.84,4,54,1
35.82,6,38,2
35.94,9,44,2
46.23,6,38,2
30.09,6,36,2
37.05,9,54,2
59.45,9,44,2
35.58,6,54,2
170.97,9,44,3
76.2,1,52,1
57.52,6,44,2
85.92,6,48,1
20.55,7,46,2
62.98,6,30,1
41.49,4,44,2
26.2,1,28,2
35.1,4,44,2
34.9,5,54,2
42.45,6,34,2
35.39,8,44,2
10.25,6,28,2
30.28,4,68,2
29.99,2,36,2
44.27,7,56,2
75.69,0,58,1
109.37,6,44,1
40.62,9,66,2
28.49,9,68,2
31.55,7,22,2
37.25,9,58,2
122.81,0,48,1
25.74,4,36,2
108.48,4,50,1
55.62,2,22,2
6.88,1,28,2
17.94,7,36,2
29.63,6,40,2
31.34,3,22,2
113.23,2,22,1
41.63,6,48,2
34.84,7,28,2
48.69,7,42,2
122.83,7,32,1
52.15,6,46,2
62.49,9,62,1
29.99,9,48,2
46.88,8,36,2
59.99,5,36,2
50.44,9,42,2
77.89,8,28,1
4.92,5,44,2
54.65,8,38,2
16.99,7,76,2
33.73,7,60,2
152.56,4,36,3
36.58,8,50,2
72.67,3,26,1
64.39,9,42,1
33.48,5,26,2
12.83,9,56,2
30.26,8,40,2
50.83,6,50,2
30,9,52,2
36.31,5,44,2
30.64,8,38,2
103.7,9,54,1
75.25,8,46,1
45.91,6,42,2
30.34,7,48,2
30.34,4,42,2
52.23,7,46,2
59.22,9,56,2
83.22,4,32,1
70.77,6,42,1
25.21,6,34,2
67.97,6,40,1
47.75,9,42,2
33.24,4,62,2
105.97,6,66,1
31.86,9,38,2
48.6,6,50,2
68.86,6,44,1
20.91,1,36,2
52.72,7,28,2
48.98,8,36,2
30.25,2,58,2
252.41,7,34,3
60.82,4,62,2
44.25,2,38,2
33.25,5,36,2
90.86,6,76,1
172.21,7,48,3
37.8,3,56,2
103.67,4,20,1
51.28,9,52,2
54.13,7,24,2
43.24,2,54,2
30.82,9,54,2
31.25,4,32,2
30.77,7,42,2
40.46,3,46,2
63.03,3,30,1
74.92,6,46,1
31.59,3,26,2
66.36,5,34,1
29.99,9,50,2
53.69,2,36,2
49.02,6,42,2
70.5,9,40,1
35.84,6,30,2
103.26,8,50,1
30.26,5,76,2
16.99,9,54,2
29.99,1,84,2
80.5,7,42,1
34.38,6,58,2
35.43,7,40,2
32.8,7,60,2
46.89,6,44,2
30.45,7,40,2
209.41,6,58,3
30.7,6,72,2
58.4,4,32,2
75,7,50,1
94.89,9,52,1
30.55,7,28,2
82.7,6,20,1
287.63,8,28,3
29.99,6,26,2
34.62,6,50,2
53.89,8,32,2
12.74,7,54,2
35.34,7,28,2
30.26,6,30,2
30.27,8,36,2
97.27,7,46,1
42.03,9,48,2
29.12,4,26,2
59.99,7,60,2
68.36,5,60,1
213.65,9,46,3
64.06,4,28,1
53.47,1,30,2
26.25,8,42,2
121.8,5,32,1
32.91,9,50,2
34.99,7,52,2
34.13,6,28,2
30.27,9,40,2
50.74,6,28,2
35.23,7,38,2
38.08,6,52,2
35.98,6,28,2
60.24,3,58,2
43.23,9,58,2
51.42,9,38,2
66.68,5,36,1
30.27,6,38,2
41.09,9,30,2
32.38,3,94,2
109.29,9,52,1
30.51,3,24,2
82.73,6,32,1
11.07,6,44,2
58.08,1,50,2
32.18,6,42,2
52.79,6,46,2
44.81,4,38,2
168.92,3,32,3
48.47,9,34,2
53.9,6,36,2
50.48,7,44,2
63.17,6,44,1
34.9,6,40,2
101.39,6,46,1
67.83,6,42,1
53.33,7,48,2
75.31,4,28,1
98.37,5,32,1
14.36,8,60,2
53.13,7,50,2
36.23,5,44,2
50.69,7,38,2
29.02,4,72,2
86.29,6,42,1
50.48,9,46,2
117.14,3,32,1
66.65,3,26,1
29.99,4,46,2
52.38,5,38,2
80.48,6,58,1
30.26,9,42,2
26.89,5,44,2
36.98,6,28,2
44.07,7,40,2
28.5,6,34,2
46.22,6,56,2
85.86,6,24,1
45.41,9,42,2
91.89,3,36,1
53.33,6,34,2
47.96,6,40,2
51.98,7,46,2
45.18,5,50,2
56.6,6,48,2
17.07,3,40,2
34.79,4,48,2
65.87,6,54,1
58.16,9,50,2
42.49,6,62,2
174.57,7,34,3
59.49,3,42,2
144.63,6,60,3
312.22,8,52,3
30.51,5,38,2
78.23,8,54,1
27.92,6,48,2
54.5,4,36,2
52.05,6,50,2
29.99,6,44,2
45.61,4,34,2
68.97,4,38,1
104.39,9,54,1
27.99,6,38,2
28.5,9,54,2
61.51,6,46,1
48.62,9,40,2
24.99,6,56,2
46.24,9,52,2
44.07,5,26,2
30.5,8,34,2
53.26,6,58,2
30.52,2,40,2
44.34,3,52,2
39.01,4,30,2
30.26,7,50,2
10.76,5,34,2
79.24,6,58,1
32.64,7,34,2
34.73,8,40,2
52.4,9,38,2
49.26,9,60,2
40.76,9,38,2
87.06,9,46,1
39.37,9,46,2
32.01,7,40,2
74.84,6,60,1
19.99,6,40,2
50.09,7,52,2
12.09,6,46,2
39.99,2,54,2
38.2,5,58,2
109.85,6,30,1
43.99,6,48,2
43.69,4,32,2
133.38,4,38,1
18.11,4,40,2
42.74,7,38,2
85.46,4,26,1
32.78,1,26,2
28.75,7,50,2
51.7,1,20,2
99.72,5,46,1
78.8,6,28,1
42.8,9,76,2
11.02,5,44,2
38.99,4,38,2
56.42,4,42,2
55.1,9,54,2
68.6,5,24,1
70.29,4,40,1
45.38,2,42,2
53.63,8,42,2
34.42,9,34,2
29.99,7,48,2
29.99,9,62,2
136.92,3,24,1
35.63,6,44,2
10.25,8,32,2
39.72,4,58,2
86.32,9,52,1
48.94,9,54,2
35.72,7,36,2
35.34,3,76,2
138.86,9,36,1
29.99,7,26,2
34.09,9,52,2
63.26,6,30,1
80.11,9,28,1
37.99,7,50,2
78.21,8,50,1
86.02,7,28,1
61.45,4,46,1
75.16,8,50,1
32.49,6,62,2
52.08,4,42,2
59.92,7,28,2
50,7,60,2
74.2,6,46,1
62.72,5,50,1
153.74,7,54,3
18.66,6,50,2
10.88,4,38,2
51.83,7,36,2
19.76,4,68,2
49.99,6,52,2
38.3,9,28,2
51.23,4,28,2
86.97,7,34,1
31.37,6,50,2
95.02,4,56,1
10.49,9,42,2
190.71,9,40,3
130.59,5,36,1
29.99,4,62,2
56.25,6,38,2
33.39,6,34,2
48.48,9,60,2
83.72,9,48,1
20.36,7,32,2
26.23,9,34,2
95.05,8,30,1
28.36,4,38,2
50.54,5,26,2
84.14,7,56,1
33.71,7,48,2
83.43,4,40,1
30.8,4,26,2
37.4,6,32,2
101.14,6,34,1
57.74,6,34,2
50.44,9,32,2
51.29,9,26,2
46.57,6,28,2
39.4,8,50,2
35.89,3,30,2
59.37,7,38,2
56.66,8,36,2
82.09,5,34,1
64.96,6,22,1
106.94,6,50,1
98.84,9,36,1
35.7,4,48,2
30.75,5,46,2
62.3,3,32,1
15.01,8,82,2
29.99,8,54,2
46.94,6,28,2
66.41,8,38,1
59.92,1,30,2
32.93,6,46,2
30.26,6,46,2
35.23,7,52,2
31.57,2,50,2
33.55,7,34,2
106.3,6,24,1
33.86,4,28,2
30.27,6,58,2
30.73,4,58,2
31.09,7,36,2
30.24,9,42,2
81.15,4,32,1
31.26,9,26,2
58.74,6,56,2
16.73,6,52,2
69.99,4,46,1
91.47,2,44,1
33.16,7,64,2
36.94,6,42,2
245.86,7,46,3
15.14,7,52,2
98.39,5,26,1
33.89,7,64,2
32.23,7,32,2
29.99,7,30,2
10.62,5,28,2
35.18,7,24,2
44.22,9,44,2
51.48,4,26,2
52.96,5,54,2
96.54,5,38,1
60.95,2,44,2
33.42,4,26,2
8.25,9,38,2
132.61,7,46,1
35.24,7,52,2
29.99,9,56,2
32.89,5,52,2
61.62,6,30,1
30.75,7,50,2
35.65,6,38,2
47.86,6,30,2
29.49,8,26,2
92.8,9,46,1
67.64,3,32,1
29.99,1,54,2
29.06,6,58,2
29.99,1,30,2
20.56,6,44,2
27.3,7,52,2
60.97,4,52,2
53.72,6,40,2
36.9,4,70,2
49.22,9,32,2
35.87,5,48,2
45.03,6,34,2
79.2,5,40,1
62.28,6,28,1
71.62,9,44,1
42.87,7,36,2
61.59,4,52,2
33.49,9,26,2
40.83,5,50,2
40.77,8,44,2
200.16,6,50,3
41.59,0,44,2
94.03,4,62,1
51.38,6,42,2
32.49,6,54,2
47.41,8,46,2
33.35,5,36,2
10,7,52,2
57.17,3,34,2
42.77,2,40,2
48.46,8,30,2
56.59,9,46,2
63.85,9,58,1
34.98,8,30,2
30.93,8,58,2
51.94,6,50,2
89.15,7,42,1
60.31,7,54,2
47.91,1,30,2
34.99,6,62,2
23.01,9,40,2
38.74,8,46,2
59.99,1,34,2
110.85,5,44,1
34.79,2,50,2
10,6,28,2
119.28,7,30,1
58.05,6,28,2
38.35,5,40,2
56.19,9,20,2
60.54,6,36,2
32.59,4,28,2
74.33,9,32,1
47.39,5,70,2
42.85,9,54,2
81.5,5,28,1
31.12,6,48,2
37.8,6,38,2
34.69,6,44,2
55.33,6,26,2
54.51,3,48,2
31.39,8,38,2
51.27,6,58,2
38.24,4,52,2
26.54,7,48,2
12.81,7,42,2
17.14,6,28,2
39.99,6,72,2
44.23,7,22,2
51.23,9,54,2
50.74,9,52,2
54.17,9,44,2
35.19,9,56,2
10,6,46,2
30,6,30,2
40.73,7,60,2
10,1,32,2
61.61,7,56,2
35.02,8,30,2
31.73,9,42,2
141.09,7,52,1
18.78,8,42,2
96.99,8,48,1
43.27,9,46,2
87.22,1,28,1
10,9,48,2
30.1,4,48,2
50.94,6,50,2
42.74,8,48,2
29.99,7,44,2
64.34,3,46,1
30.5,3,82,2
65.56,3,44,1
93.3,5,52,1
37.51,4,50,2
55.64,6,52,2
30.47,6,36,2
68.05,5,58,1
10,7,54,2
50.44,6,56,2
30.26,6,50,2
44.16,5,42,2
54.68,8,40,2
66.56,4,40,1
30.25,9,54,2
30.46,5,38,2
50.55,9,40,2
108.7,6,44,1
31.19,9,46,2
63.7,6,32,1
28.49,4,34,2
8.54,5,36,2
10.66,9,34,2
38.01,7,48,2
42.29,9,44,2
52.99,3,32,2
67.68,6,42,1
57.84,1,32,2
55.74,7,28,2
10.25,6,50,2
30.74,7,22,2
15,6,60,2
56.49,4,46,2
80.48,6,56,1
17.24,1,62,2
36.74,6,22,2
33.25,8,34,2
34.99,6,50,2
34.99,4,24,2
31.36,8,48,2
29.99,6,54,2
30.27,9,34,2
19.34,6,66,2
26.58,7,50,2
79.86,7,44,1
38.13,5,36,2
55.88,0,36,2
40.21,7,36,2
97.28,4,30,1
137,6,32,1
117.69,8,44,1
59.2,4,56,2
5.04,6,44,2
53.31,4,42,2
114.02,9,54,1
50,7,42,2
33.51,7,60,2
38.63,1,54,2
34.99,4,24,2
63.52,6,54,1
79.56,6,46,1
56.09,3,38,2
51.05,8,50,2
55.47,7,58,2
91.94,5,36,1
30.48,7,38,2
138.7,6,50,1
15.44,2,56,2
29.51,7,48,2
27.89,4,78,2
131.09,7,46,1
225.47,9,36,3
30.26,6,78,2
80.65,7,58,1
37.98,3,50,2
136.46,9,54,1
29.99,9,50,2
38.51,1,28,2
48.01,9,34,2
79.51,9,58,1
13.38,3,60,2
31.98,6,24,2
79.24,7,42,1
77.23,6,52,1
50.39,1,34,2
56.12,9,54,2
21.43,4,24,2
53.94,3,58,2
134.17,6,28,1
50.59,7,52,2
46.23,9,56,2
30.34,5,44,2
112.08,9,58,1
49.99,5,28,2
38.94,4,48,2
30.58,3,40,2
23.73,9,46,2
205.38,7,40,3
27.16,7,50,2
36.55,6,50,2
62.69,3,36,1
100.66,8,26,1
19.96,6,44,2
64.28,7,28,1
30.24,9,40,2
61.77,4,28,1
41.29,0,40,2
36.48,4,52,2
65.21,6,58,1
50.33,6,46,2
62.15,8,34,1
30,9,56,2
61.03,6,48,2
39.44,7,30,2
28.7,7,54,2
51.27,2,28,2
30.09,5,58,2
57.35,4,28,2
154.6,7,32,3
46.89,8,22,2
50.28,6,64,2
35.54,3,24,2
35.66,4,72,2
10,3,86,2
40.59,1,54,2
50.44,3,38,2
79.25,5,32,1
29.99,6,72,2
31.52,6,38,2
30.85,4,36,2
34.15,4,30,2
30.36,7,40,2
45.81,4,38,2
30.43,7,52,2
48.23,3,54,2
96.89,7,48,1
40.21,9,40,2
51.48,6,24,2
30.26,3,66,2
59.87,3,50,2
79.17,9,52,1
38.18,9,56,2
35.55,6,44,2
32.26,5,68,2
42.55,6,42,2
55.47,7,52,2
43.95,6,30,2
46.18,9,52,2
50.45,4,40,2
25.02,8,36,2
51.09,7,42,2
11.37,8,50,2
38.04,6,52,2
47.06,7,46,2
45,9,38,2
31.39,7,48,2
50.75,8,54,2
36.05,7,40,2
19.99,7,46,2
38.48,4,36,2
122.36,7,28,1
97.83,8,40,1
24.16,7,52,2
51.74,6,42,2
43.11,6,50,2
29.99,3,34,2
34.57,9,56,2
28.04,5,46,2
66.9,8,54,1
44.44,8,58,2
32.54,8,32,2
103.93,3,54,1
25.64,8,52,2
33.56,5,36,2
45.92,4,54,2
232.84,9,50,3
34.17,6,46,2
60.74,8,42,2
44.37,8,42,2
36.46,4,60,2
29.48,7,44,2
50.19,7,44,2
33.25,4,56,2
200.05,8,40,3
49.99,5,46,2
78.25,6,34,1
83.12,6,40,1
19.75,7,60,2
70.19,6,20,1
60.93,7,56,2
68.8,9,30,1
17.14,4,74,2
16.95,6,32,2
14.93,6,50,2
50.57,4,32,2
39.65,7,28,2
30.51,9,42,2
69.7,3,42,1
49.99,9,32,2
30.26,5,28,2
29.29,7,74,2
54.54,9,54,2
51.18,2,50,2
23.72,6,60,2
28.49,8,60,2
50.12,4,32,2
53.3,9,42,2
34.94,7,32,2
18.81,4,40,2
30,9,44,2
39.99,6,62,2
53.65,6,50,2
42.74,1,54,2
146.19,6,32,3
52.38,7,54,2
116.51,7,50,1
61.29,2,24,1
32.42,6,44,2
133.6,0,26,1
39.78,6,36,2
63.26,6,32,1
46.35,4,44,2
30.38,9,50,2
30,7,44,2
51.81,8,34,2
54.09,4,56,2
85.48,9,46,1
72.17,5,30,1
30.09,6,38,2
22.63,5,56,2
33.61,6,34,2
31.86,4,34,2
65.14,3,30,1
31.34,4,58,2
16.99,4,64,2
36.64,7,46,2
66,9,54,1
30.37,9,52,2
66.16,9,40,1
62.39,6,54,1
35.24,6,64,2
77.68,9,40,1
50.04,4,38,2
94.09,3,56,1
31.36,5,80,2
55.77,6,56,2
244.69,6,28,3
126.29,4,30,1
5,8,28,2
154.44,4,42,3
32.61,7,46,2
161.45,7,40,3
50.44,3,32,2
30.57,6,36,2
30.26,5,34,2
43.38,3,34,2
19.99,6,32,2
12.81,7,44,2
37.4,9,50,2
54.23,3,24,2
23.24,5,58,2
35.45,5,54,2
142.71,6,56,1
78.63,1,34,1
29.2,7,48,2
89.02,9,48,1
47.15,9,64,2
45.34,0,68,2
40.73,7,40,2
33.49,4,68,2
50.8,5,32,2
141.67,7,58,1
71.6,9,58,1
36.26,7,48,2
30.37,9,34,2
34.48,5,42,2
28.74,6,40,2
50.23,7,44,2
99.18,6,46,1
115.19,7,32,1
86.28,4,40,1
50.44,4,22,2
96.52,7,32,1
33.2,3,22,2
82.39,9,48,1
63.89,6,46,1
32.61,2,58,2
41.03,4,38,2
59.99,6,50,2
54.64,4,56,2
35.28,7,34,2
35.19,6,46,2
50.49,3,38,2
35.41,6,46,2
54.76,1,22,2
16.39,5,66,2
21.13,9,52,2
81.87,8,54,1
24.18,6,18,2
35.44,4,40,2
12.5,5,60,2
103.36,3,28,1
94.63,4,22,1
32.72,6,48,2
38.66,7,28,2
17.84,9,50,2
43.13,9,60,2
48.8,4,46,2
34.35,6,36,2
29.28,6,50,2
88.85,9,60,1
82,7,34,1
81.14,6,26,1
71.44,1,52,1
90.34,1,30,1
100.24,6,54,1
71.12,9,54,1
67.08,0,60,1
50.44,7,36,2
40.48,5,26,2
69.83,4,44,1
40.27,6,22,2
39.04,9,24,2
38.97,7,26,2
88.42,2,30,1
46.37,9,36,2
37.48,9,60,2
51.18,1,58,2
212.29,1,46,3
118.2,1,58,1
79.11,6,52,1
75.59,6,36,1
523.51,3,52,3
94.72,8,58,1
57.31,3,24,2
98.75,4,34,1
64.39,7,26,1
135.79,6,38,1
22.32,7,44,2
38.66,1,28,2
81.14,4,48,1
35.4,7,46,2
205.7,9,40,3
18.39,7,58,2
40.12,0,22,2
40.5,8,50,2
78.06,7,30,1
49.99,5,42,2
62.42,4,28,1
10,6,56,2
90.54,9,52,1
91,6,34,1
36.56,3,34,2
29.99,1,54,2
16.99,5,28,2
74.48,9,54,1
55.1,9,38,2
45,6,50,2
103.72,6,30,1
10,7,60,2
86.45,7,36,1
47.59,4,26,2
16.79,4,28,2
39.99,3,64,2
27.61,7,46,2
44.03,6,58,2
50.49,4,38,2
49.99,7,60,2
32.17,9,36,2
32.82,5,46,2
61.48,4,32,1
35.88,6,48,2
27.82,8,42,2
49.99,3,30,2
30,6,56,2
40.05,6,52,2
43.87,7,62,2
41.39,6,38,2
54.56,5,42,2
29.99,8,56,2
26.66,6,80,2
69.93,7,52,1
55.48,7,34,2
40.77,9,46,2
57,6,46,2
11.46,6,26,2
30.26,5,50,2
29.99,4,60,2
29.99,8,54,2
64.35,5,48,1
100.64,1,60,1
45.96,2,38,2
68.84,6,76,1
13.4,7,56,2
29.53,6,46,2
86.06,7,38,1
40.45,8,34,2
30.26,7,54,2
30.24,9,30,2
43.32,7,42,2
43.03,3,30,2
76.95,3,22,1
35.23,4,86,2
57.03,5,48,2
20.24,1,34,2
51.31,5,74,2
10,9,44,2
9.85,3,42,2
55.68,9,40,2
60.09,2,54,2
76.67,4,38,1
133.3,9,56,1
38.87,7,36,2
201.3,6,30,3
29.99,9,44,2
32.32,2,42,2
36.3,9,48,2
13.25,6,36,2
53.43,5,26,2
95.9,7,24,1
60.05,4,46,2
285.65,3,32,3
30.09,7,36,2
52.99,1,62,2
31.5,8,48,2
36.69,6,32,2
45.06,6,46,2
100.43,6,36,1
50.39,4,32,2
44.37,5,52,2
34.91,5,44,2
33.15,6,38,2
69.05,6,46,1
93.62,8,30,1
25.02,4,28,2
39.99,6,48,2
17.43,6,34,2
47.48,9,46,2
42.55,2,54,2
34.77,4,46,2
83.88,6,34,1
45,7,40,2
41.43,7,44,2
35.24,3,24,2
27.33,4,40,2
34.62,7,48,2
30.48,5,68,2
52.97,8,50,2
20.46,6,60,2
17.14,7,80,2
61.74,9,54,2
29.22,9,46,2
43.72,8,38,2
64.95,9,50,1
33.74,4,56,2
93.06,7,34,1
22.04,9,48,2
35.09,9,36,2
28.75,4,34,2
34.99,6,38,2
46.68,8,24,2
78.24,8,26,1
36.31,1,24,2
18.8,9,36,2
29.99,2,66,2
30.51,8,32,2
33.24,5,32,2
111.53,5,60,1
63.88,6,46,1
63.37,5,50,1
68.58,6,50,1
37.22,6,32,2
54.61,6,52,2
35.24,6,36,2
24.99,6,66,2
124.16,8,34,1
53.23,3,56,2
54.58,5,54,2
32.78,6,54,2
78.74,6,50,1
55.17,9,56,2
39.34,8,26,2
73.79,6,36,1
99.9,9,54,1
13.43,7,36,2
62.77,6,44,1
17.79,7,50,2
41.38,6,80,2
78.38,9,52,1
50.98,6,58,2
34.99,4,54,2
53.95,7,40,2
7.75,6,58,2
35.48,5,26,2
33.57,6,38,2
35.7,7,32,2
50.24,7,28,2
28.74,9,44,2
45,5,46,2
83.39,1,40,1
49.68,8,38,2
75.19,4,42,1
33.68,6,56,2
10,6,66,2
41.49,9,44,2
52.99,3,56,2
67,6,28,1
32.07,7,66,2
28.49,7,38,2
43.82,9,36,2
47.56,4,28,2
58.94,9,48,2
30.11,4,32,2
134.12,9,54,1
111.71,4,28,1
50.24,6,60,2
57.96,6,64,2
69.23,7,34,1
30.26,5,58,2
30.26,6,34,2
30.27,7,44,2
58.69,6,72,2
35.17,3,50,2
36.24,3,32,2
55.98,9,48,2
82.03,9,40,1
43.94,2,50,2
42.63,7,52,2
87.65,6,54,1
34.99,5,32,2
59.99,6,32,2
143.13,2,48,1
43.35,5,50,2
10,9,54,2
39.59,5,42,2
58.17,4,24,2
67.25,6,46,1
50.48,8,62,2
42.66,9,52,2
43.71,6,40,2
51.27,6,46,2
35.73,4,26,2
149.99,9,60,3
257,8,24,3
62.33,4,38,1
71.31,9,32,1
35.04,7,42,2
19.53,5,32,2
30.88,6,58,2
37,9,34,2
60.34,4,48,2
73.62,4,48,1
50.55,6,52,2
29.99,5,44,2
62.03,9,34,1
30,9,32,2
42.44,9,70,2
54.1,7,30,2
24.94,7,56,2
28.46,0,44,2
37.99,5,38,2
68.27,6,42,1
10.11,8,56,2
51.08,7,34,2
39.89,6,50,2
35.3,6,40,2
84.6,1,36,1
331.64,9,58,3
50.49,7,34,2
30.48,7,32,2
111.27,6,56,1
43.57,5,64,2
175.73,4,52,3
19.99,6,48,2
52.17,4,36,2
64.75,6,56,1
60.88,7,26,1
33.11,3,30,2
11.24,6,68,2
60.08,8,40,2
53.9,8,58,2
52.71,7,32,2
77.78,2,26,1
82.97,8,38,1
29.99,9,72,2
40.09,7,42,2
60.23,9,38,2
119.34,4,34,1
43.99,9,24,2
42.69,9,52,2
32.49,6,40,2
41.14,6,38,2
64.69,7,34,1
141.6,7,34,1
59.86,7,24,1
33.24,6,42,2
39.56,7,66,2
87.89,9,46,1
124.12,4,42,1
61.52,7,30,1
51.19,7,38,2
25.21,5,56,2
53.97,5,22,2
24.99,7,52,2
19.33,9,48,2
34.98,9,54,2
29.99,9,46,2
44.23,6,62,2
21.11,6,54,2
35.06,6,38,2
66.21,5,48,1
50.44,7,32,2
38.91,5,52,2
34.3,4,74,2
55.17,9,48,2
30.73,7,38,2
55.95,1,36,2
65.03,4,52,1
37.27,6,52,2
54.32,3,26,2
48.72,4,34,2
143.28,7,30,3
55.38,4,34,2
18.77,7,28,2
107.33,5,30,1
53.43,6,58,2
41.23,8,52,2
41.56,8,46,2
40.67,7,48,2
51.18,5,48,2
66.23,3,54,1
48.3,8,52,2
59.16,9,56,2
61.35,5,26,1
98.47,8,50,1
21.07,6,54,2
30.43,9,72,2
50.92,7,60,2
33.24,9,36,2
32.84,9,54,2
85.96,7,54,1
84.92,4,32,1
30.46,3,62,2
64.96,7,42,1
49.99,6,48,2
50.78,5,46,2
90.25,8,38,1
42.3,1,66,2
67.81,9,40,1
56.28,5,36,2
10,6,34,2
29.99,6,44,2
35.33,8,32,2
76.78,7,56,1
10.34,9,56,2
24.99,4,26,2
54.43,7,36,2
41.25,5,20,2
58.98,6,42,2
95.87,9,52,1
35.3,5,60,2
124.61,6,26,1
102.76,9,48,1
73.82,3,28,1
50.69,4,28,2
24.57,2,22,2
38.96,3,28,2
36.13,3,20,2
36.72,6,54,2
57.72,4,36,2
180.93,7,24,3
32.67,4,34,2
22.46,3,48,2
19.47,5,48,2
28.8,6,32,2
169.63,7,52,3
50.69,6,54,2
48.38,3,34,2
42.97,7,44,2
46.16,7,50,2
56.2,5,42,2
43.23,9,48,2
50.96,8,42,2
64.92,7,44,1
25.75,7,32,2
35.24,4,28,2
87.53,7,50,1
97.58,3,34,1
111.07,4,60,1
34.85,6,54,2
48.75,9,52,2
80.99,6,36,1
85.62,9,42,1
139.7,6,24,1
132.67,6,48,1
34.99,5,64,2
19.11,7,48,2
68.22,6,30,1
34.49,7,40,2
86.67,9,52,1
51.68,6,30,2
85.27,3,46,1
57.45,9,44,2
120.78,7,52,1
80.78,9,38,1
34.98,3,64,2
33.35,5,36,2
50,4,26,2
71.22,5,46,1
72.04,6,72,1
39.26,3,28,2
104.26,6,44,1
32.44,7,62,2
34.99,9,46,2
30.84,6,24,2
51.44,9,58,2
50,8,70,2
144.79,6,42,3
29.99,6,50,2
30.41,7,66,2
27.01,0,40,2
26.02,6,66,2
59.69,7,52,2
87.74,3,30,1
96.93,7,46,1
35.84,4,56,2
150.01,8,56,3
41.45,8,44,2
63.08,6,34,1
52.42,7,38,2
53.79,6,52,2
40.73,9,30,2
13.81,4,52,2
74.31,1,26,1
63.25,5,26,1
42.49,8,56,2
17.41,9,52,2
62.39,5,36,1
51.56,6,46,2
79.26,6,48,1
30.11,3,44,2
296.06,7,34,3
33.19,6,58,2
42.87,9,52,2
15.19,6,70,2
94.16,3,44,1
36.23,8,68,2
25.64,3,32,2
30.26,5,40,2
78.14,5,40,1
61.2,0,46,2
85.15,7,42,1
45,3,38,2
96.04,8,52,1
50.31,5,30,2
34.51,7,46,2
142.63,7,48,1
97.78,6,46,1
35.8,3,26,2
23.6,6,32,2
30,7,58,2
50.51,1,32,2
38.24,3,26,2
50.67,2,24,2
30.48,4,50,2
30.27,4,48,2
54.92,6,54,2
34.22,7,30,2
40.05,8,50,2
